,Posição,Escola,Inep,Cidade,Estado,Dp_Adm,Tipo_dp,Qtd_alunos,Linguagens_Codigos,Ciencias_Humanas,Ciencias_Natureza,Matematica,Redacao,Media
123,124,COLEGIO CHRISTUS BARAO DE STUDART,23067071,Fortaleza,Ceará,Privada,Urbana,85,"602,20","627,21","615,76","742,12","830,12","646,82"
124,125,COLEGIO SAO PAULO,29182646,Salvador,Bahia,Privada,Urbana,73,"611,88","634,98","607,70","732,09","840,55","646,66"
125,126,DANTE ALIGHIERI COLEGIO,35103524,São Paulo,São Paulo,Privada,Urbana,152,"607,63","634,24","607,40","737,12","743,68","646,60"
126,127,COLEGIO E CURSO PENSI,33165920,Niterói,Rio de Janeiro,Privada,Urbana,24,"608,19","654,29","607,61","715,91","921,67","646,50"
127,128,COLEGIO DE A A Z - UNIDADE TIJUCA,33173990,Rio de Janeiro,Rio de Janeiro,Privada,Urbana,52,"615,50","633,58","601,21","735,65","882,31","646,49"
128,129,COLEGIO GALILEU,52020517,Anápolis,Goiás,Privada,Urbana,35,"602,39","627,29","616,63","739,33","922,86","646,41"
129,130,COLEGIO FAZER CRESCER - ENSINO MEDIO,26181231,Recife,Pernambuco,Privada,Urbana,33,"601,73","634,69","595,65","753,56","779,39","646,41"
130,131,COLEGIO SANTA DOROTEIA,31007196,Belo Horizonte,Minas Gerais,Privada,Urbana,74,"611,84","638,94","598,80","735,11","838,11","646,17"
131,132,COLEGIO JOAO PAULO I,43238203,Porto Alegre,Rio Grande do Sul,Privada,Urbana,39,"605,78","631,33","609,62","737,21","766,67","645,98"
132,133,JOHN KENNEDY COLEGIO,35113943,Pirassununga,São Paulo,Privada,Urbana,14,"601,49","623,79","614,86","743,37","870,00","645,88"
133,134,CENTRO CAMPINENSE DE EDUCACAO LTDA COLEGIO MOTIVA,25117963,Campina Grande,Paraíba,Privada,Urbana,150,"603,66","633,57","609,97","734,53","879,73","645,43"
134,135,COLEGIO MARISTA DE NATAL,24057134,Natal,Rio Grande do Norte,Privada,Urbana,113,"607,45","630,86","602,05","741,03","872,57","645,35"
