,Posição,Escola,Inep,Cidade,Estado,Dp_Adm,Tipo_dp,Qtd_alunos,Linguagens_Codigos,Ciencias_Humanas,Ciencias_Natureza,Matematica,Redacao,Media
38,39,OBJETIVO INTEGRADO DE MOGI DAS CRUZES COLEGIO,35126974,Mogi das Cruzes,São Paulo,Privada,Urbana,50,"617,37","643,96","645,16","772,84","856,00","669,83"
39,40,CEV COLEGIO UNIDADE JOCKEY,22129529,Teresina,Piauí,Privada,Urbana,39,"625,54","652,57","629,54","771,42","906,15","669,77"
40,41,COLEGIO ELITECOL,35579403,Campinas,São Paulo,Privada,Urbana,34,"613,85","654,99","633,17","772,89","798,82","668,72"
41,42,ESCOLA ELEVA,33178860,Rio de Janeiro,Rio de Janeiro,Privada,Urbana,60,"624,73","663,07","608,65","778,25","875,67","668,67"
42,43,COLEGIO COGNITIVO,26534711,Recife,Pernambuco,Privada,Urbana,107,"617,63","655,66","625,98","773,69","871,21","668,24"
43,44,SISTEMA DE ENSINO EQUIPE INTEGRADO EIRELI - EPP,15167275,Belém,Pará,Privada,Urbana,46,"623,80","661,52","625,47","760,92","910,43","667,93"
44,45,PROGRESSO CAMPINEIRO COLEGIO,35112513,Campinas,São Paulo,Privada,Urbana,28,"619,10","662,29","622,26","764,66","860,00","667,08"
45,46,COLEGIO HELYOS,29342880,Feira de Santana,Bahia,Privada,Urbana,22,"619,22","655,42","636,10","750,60","825,45","665,33"
46,47,COLEGIO SANTO AGOSTINHO UNIDADE NOVA LIMA,31333921,Nova Lima,Minas Gerais,Privada,Urbana,66,"614,94","656,81","619,06","768,38","871,52","664,80"
47,48,AGOSTINIANO MENDEL COLEGIO,35136931,São Paulo,São Paulo,Privada,Urbana,187,"609,09","639,27","628,11","778,90","816,58","663,84"
48,49,ANBEAS - COLEGIO SAGRADO CORACAO DE JESUS,22022481,Teresina,Piauí,Privada,Urbana,65,"618,93","647,83","619,80","768,56","927,08","663,78"
49,50,UIRAPURU COLEGIO,35141586,Sorocaba,São Paulo,Privada,Urbana,55,"614,24","639,39","624,45","776,16","852,73","663,56"
50,51,COL OLIMPO,53056000,Brasília,Distrito Federal,Privada,Urbana,95,"613,99","644,46","638,12","757,05","840,84","663,40"
51,52,COLEGIO SAO JOAO BATISTA NOVA FRIBURGO,33145237,Nova Friburgo,Rio de Janeiro,Privada,Urbana,24,"617,99","648,63","618,02","767,24","920,83","662,97"
52,53,UNIVERSIDADE FEDERAL DO PARANA - SEPT,41148851,Curitiba,Paraná,Federal,Urbana,24,"610,36","640,20","639,08","761,20","762,50","662,71"
53,54,COLEGIO HARMONIA,50027956,Campo Grande,Mato Grosso do Sul,Privada,Urbana,12,"627,07","645,33","622,13","756,20","880,00","662,69"
54,55,COLEGIO CRUZEIRO-CENTRO,33062609,Rio de Janeiro,Rio de Janeiro,Privada,Urbana,80,"612,80","649,90","612,66","774,82","868,00","662,55"
55,56,COLEGIO ANGLO LEONARDO DA VINCI - UNIDADE I - OSASCO,35135288,Osasco,São Paulo,Privada,Urbana,56,"619,16","653,72","620,30","755,81","879,64","662,25"
56,57,COLEGIO MILITAR DE BELO HORIZONTE,31291030,Belo Horizonte,Minas Gerais,Federal,Urbana,63,"622,93","646,46","614,82","763,70","816,83","661,98"
57,58,LICEU JARDIM,35173186,Santo André,São Paulo,Privada,Urbana,117,"616,04","652,86","623,43","754,15","851,62","661,62"
58,59,COLEGIO BIONATUS II,50032100,Campo Grande,Mato Grosso do Sul,Privada,Urbana,45,"615,14","641,20","631,39","756,56","869,33","661,07"
59,60,ETAPA COLEGIO DE EFM,35134806,São Paulo,São Paulo,Privada,Urbana,333,"609,82","636,45","631,77","766,17","819,22","661,05"
60,61,COLEGIO SAGRADO CORACAO DE MARIA,32040075,Vitória,Espirito Santo,Privada,Urbana,16,"621,68","633,81","624,64","762,28","923,75","660,60"
61,62,ARI DE SA CAVALCANTE SEDE ALDEOTA COLEGIO,23272430,Fortaleza,Ceará,Privada,Urbana,149,"613,57","635,02","617,50","775,10","847,52","660,30"
62,63,EDUCANDARIO SANTA MARIA GORETTI,22023658,Teresina,Piauí,Privada,Urbana,40,"621,77","633,86","621,28","763,20","855,00","660,03"
63,64,COLEGIO SANTO AGOSTINHO - UNIDADE INSTITUTO CULTURAL SANTO AGOSTINHO,33176825,Rio de Janeiro,Rio de Janeiro,Privada,Urbana,146,"619,29","649,59","609,90","759,77","896,30","659,64"
64,65,ESCOLA PREPARATORIA DE CADETES DO AR,31014630,Barbacena,Minas Gerais,Federal,Urbana,77,"610,65","635,21","602,11","786,46","790,65","658,61"
65,66,COLEGIO OLIMPO,52096785,Goiânia,Goiás,Privada,Urbana,39,"612,36","639,77","633,24","748,14","884,10","658,37"
66,67,COLEGIO CRUZEIRO - JACAREPAGUA,33135371,Rio de Janeiro,Rio de Janeiro,Privada,Urbana,99,"620,46","641,86","617,41","750,24","913,13","657,50"
67,68,UNIDADE DE ENSINO COLEGIO SINODAL - SAO LEOPOLDO,43139108,São Leopoldo,Rio Grande do Sul,Privada,Urbana,57,"614,02","642,77","608,63","764,48","801,40","657,47"
68,69,COLEGIO SANTO AGOSTINHO,33065403,Rio de Janeiro,Rio de Janeiro,Privada,Urbana,98,"622,26","651,81","604,65","749,48","853,67","657,05"
69,70,COLEGIO ACESSO,29437261,Feira de Santana,Bahia,Privada,Urbana,47,"623,27","643,52","615,63","742,65","890,64","656,27"
70,71,COMUNITARIA DE CAMPINAS ESCOLA,35112689,Campinas,São Paulo,Privada,Urbana,36,"609,76","647,26","603,20","763,47","828,33","655,92"
71,72,COLEGIO LUMIERE,50030590,Dourados,Mato Grosso do Sul,Privada,Urbana,22,"615,49","636,33","622,27","749,25","840,00","655,83"
72,73,COLEGIO MARISTA DOM SILVERIO,31006394,Belo Horizonte,Minas Gerais,Privada,Urbana,75,"617,25","649,81","610,24","745,06","867,73","655,59"
73,74,IFES - CAMPUS VILA VELHA,32078498,Vila Velha,Espirito Santo,Federal,Urbana,32,"607,73","645,04","627,44","741,99","835,00","655,55"
74,75,ALBERT SABIN COLEGIO,35124199,São Paulo,São Paulo,Privada,Urbana,123,"612,41","641,55","614,48","753,32","790,08","655,44"
75,76,COL IMPULSO,31260908,Sete Lagoas,Minas Gerais,Privada,Urbana,62,"611,61","650,50","615,92","743,05","896,13","655,27"
76,77,EMBRAER JUAREZ WANDERLEY COLEGIO,35805555,São José dos Campos,São Paulo,Privada,Urbana,199,"615,31","649,29","612,93","742,81","885,03","655,08"
77,78,SANTA CRUZ COLEGIO,35104620,São Paulo,São Paulo,Privada,Urbana,161,"615,80","647,23","586,56","770,27","750,93","654,97"
78,79,CENTRO DE EDUCACAO INTEGRADA S A - ROMUALDO,24069191,Natal,Rio Grande do Norte,Privada,Urbana,95,"611,96","646,81","619,99","740,93","884,00","654,92"
79,80,PENTAGONO COLEGIO UNIDADE ALPHAVILLE,35153163,Santana de Parnaíba,São Paulo,Privada,Urbana,19,"613,38","631,55","604,51","770,14","834,74","654,89"
80,81,ESCOLA CRESCIMENTO,21293600,São Luís,Maranhão,Privada,Urbana,17,"605,46","641,22","599,00","771,08","844,71","654,19"
81,82,COLEGIO TIRADENTES IJUI,43361340,Ijuí,Rio Grande do Sul,Estadual,Urbana,37,"612,27","642,93","619,71","740,99","804,32","653,98"
82,83,BANDEIRANTES COLEGIO EFM,35104985,São Paulo,São Paulo,Privada,Urbana,379,"618,12","635,31","612,24","749,97","776,89","653,91"
83,84,COLEGIO CAETANO,31334049,Sete Lagoas,Minas Gerais,Privada,Urbana,15,"600,05","637,13","618,58","759,08","869,33","653,71"
84,85,CENTRO EDUCACIONAL FREI SERAFICO,31245976,São João Del Rei,Minas Gerais,Privada,Urbana,27,"608,29","638,82","601,31","765,02","888,89","653,36"
